v,tiempo,trt,pl,br,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,cat0,cat1,cat2,cat3,cat4,cat5,n
A,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
A,1,1,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
A,1,1,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,6,1,0,0,0,0,7
A,1,1,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
A,1,1,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,4
A,1,1,3,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,6,1,0,0,0,0,7
B,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,1,1,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
B,1,1,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
B,1,1,2,2,0,0,0,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,3
B,1,1,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
B,1,1,3,2,0,0,0,0,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,4
A,1,2,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,6,3,0,0,0,0,9
A,1,2,1,2,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,5,5,0,0,0,0,10
A,1,2,2,1,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,6,1,1,0,0,0,8
A,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,1,2,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,7,1,0,0,0,0,8
B,1,2,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,1,2,2,1,1,0,0,0,,,,,,,,,,,,,,,,,,3,1,0,0,0,0,4
B,1,2,2,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,6,1,0,0,0,0,7
B,1,2,3,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,5,1,0,0,0,0,6
B,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,0,0,20
A,1,3,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,1,3,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,4
A,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,17,0,0,0,0,0,17
A,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,10,1,0,0,0,0,11
A,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15,0,0,0,0,0,15
B,1,3,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,5,2,0,0,0,0,7
B,1,3,1,2,1,1,0,0,0,,,,,,,,,,,,,,,,,3,2,0,0,0,0,5
B,1,3,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
B,1,3,2,2,1,1,1,0,,,,,,,,,,,,,,,,,,1,3,0,0,0,0,4
B,1,3,3,1,2,2,1,1,1,0,,,,,,,,,,,,,,,,1,3,2,0,0,0,6
B,1,3,3,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
A,1,4,1,1,2,2,1,0,0,0,0,,,,,,,,,,,,,,,4,1,2,0,0,0,7
A,1,4,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,1,4,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
A,1,4,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,1,4,3,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,6,1,0,0,0,0,7
A,1,4,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
B,1,4,1,1,3,2,2,0,0,0,0,,,,,,,,,,,,,,,4,0,2,1,0,0,7
B,1,4,1,2,1,1,1,1,1,0,0,,,,,,,,,,,,,,,2,5,0,0,0,0,7
B,1,4,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,6,1,0,0,0,0,7
B,1,4,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,1,4,3,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,7,1,0,0,0,0,8
B,1,4,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
A,1,5,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,4
A,1,5,1,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,7,1,0,0,0,0,8
A,1,5,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
A,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,16,0,0,0,0,0,16
B,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,14,0,0,0,0,0,14
B,1,5,1,2,1,2,1,1,2,0,,,,,,,,,,,,,,,,1,3,2,0,0,0,6
B,1,5,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,5,1,0,0,0,0,6
B,1,5,2,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,9,1,0,0,0,0,10
B,1,5,3,1,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,6,2,1,0,0,0,9
B,1,5,3,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
A,2,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,2,1,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,2,1,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,2,1,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,2,1,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
A,2,1,3,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,2,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,2,1,1,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,5,1,0,0,0,0,6
B,2,1,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,2,1,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
B,2,1,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,2,1,3,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
A,2,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
A,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,2,2,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
A,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
A,2,2,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
A,2,2,3,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10,2,0,0,0,0,12
B,2,2,1,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,,5,2,0,0,0,0,7
B,2,2,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11,1,0,0,0,0,12
B,2,2,3,1,3,2,2,1,1,0,0,0,0,0,0,0,0,,,,,,,,,8,2,2,1,0,0,13
B,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13,0,0,0,0,0,13
A,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13,0,0,0,0,0,13
A,2,3,1,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
A,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,16,1,0,0,0,0,17
A,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19,0,0,0,0,0,19
A,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,17,0,0,0,0,0,17
B,2,3,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,6,2,0,0,0,0,8
B,2,3,1,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,7,1,0,0,0,0,8
B,2,3,2,1,1,1,2,0,0,0,0,,,,,,,,,,,,,,,4,2,1,0,0,0,7
B,2,3,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,4
B,2,3,3,1,1,2,1,1,3,2,2,1,2,0,,,,,,,,,,,,1,4,4,1,0,0,10
B,2,3,3,2,3,2,1,1,2,1,0,0,0,0,,,,,,,,,,,,4,3,2,1,0,0,10
A,2,4,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,2,4,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,2,4,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,2,4,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,2,4,3,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,2,4,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,2,4,1,2,0,0,0,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,3
B,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13,0,0,0,0,0,13
B,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,10,1,0,0,0,0,11
B,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,16,0,0,0,0,0,16
B,2,4,3,2,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,2,0,0,0,0,11
A,2,5,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
A,2,5,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19,0,0,0,0,0,19
A,2,5,2,2,1,0,0,0,,,,,,,,,,,,,,,,,,3,1,0,0,0,0,4
A,2,5,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
A,2,5,3,2,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
B,2,5,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
B,2,5,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
B,2,5,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
B,2,5,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
B,2,5,3,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,9,1,0,0,0,0,10
B,2,5,3,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
A,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
A,3,1,1,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
A,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,3,1,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
A,3,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,3,1,3,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,3,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,3,1,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,3,1,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13,0,0,0,0,0,13
B,3,1,3,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,3,2,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
A,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,3,2,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,3,2,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
A,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,18,0,0,0,0,0,18
A,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15,0,0,0,0,0,15
B,3,2,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,10,1,0,0,0,0,11
B,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15,0,0,0,0,0,15
A,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
A,3,3,1,2,1,2,2,1,1,1,1,0,0,0,,,,,,,,,,,,3,5,2,0,0,0,10
A,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13,0,0,0,0,0,13
A,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
A,3,3,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
A,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
B,3,3,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
B,3,3,1,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8,1,0,0,0,0,9
B,3,3,2,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,8,2,0,0,0,0,10
B,3,3,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
B,3,3,3,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
B,3,3,3,2,1,1,3,0,0,0,0,0,,,,,,,,,,,,,,5,2,0,1,0,0,8
A,3,4,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
A,3,4,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,3,4,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
A,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
A,3,4,3,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
B,3,4,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,3,4,1,2,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,10,0,0,1,0,0,11
B,3,4,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,3,4,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,3,4,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
B,3,4,3,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,3,5,1,1,2,2,1,1,0,0,0,,,,,,,,,,,,,,,3,2,2,0,0,0,7
A,3,5,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,17,0,0,0,0,0,17
A,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,16,0,0,0,0,0,16
A,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15,0,0,0,0,0,15
A,3,5,3,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,3,5,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,3,5,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
B,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
B,3,5,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,3,5,3,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
A,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,18,0,0,0,0,0,18
A,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,0,0,20
A,4,1,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,4,1,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
A,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,21
B,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
B,4,1,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
B,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15,0,0,0,0,0,15
B,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13,0,0,0,0,0,13
B,4,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
B,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,14,0,0,0,0,0,14
A,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
A,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,4,2,2,1,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,5,2,1,0,0,0,8
A,4,2,2,2,1,1,2,2,0,0,0,0,0,,,,,,,,,,,,,5,2,2,0,0,0,9
A,4,2,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,4,2,3,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,4,2,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,4,4,0,0,0,0,8
B,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,4,2,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,4,2,3,1,2,2,1,1,1,4,3,,,,,,,,,,,,,,,0,3,2,1,1,0,7
B,4,2,3,2,1,1,1,2,0,0,,,,,,,,,,,,,,,,2,3,1,0,0,0,6
A,4,3,1,1,1,2,1,4,3,2,3,2,1,0,0,0,0,0,0,,,,,,,6,3,3,2,1,0,15
A,4,3,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15,0,0,0,0,0,15
A,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
A,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
A,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
B,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13,0,0,0,0,0,13
B,4,3,1,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8,1,0,0,0,0,9
B,4,3,2,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8,1,0,0,0,0,9
B,4,3,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
B,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,4,3,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
A,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,17,0,0,0,0,0,17
A,4,4,2,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,9,1,0,0,0,0,10
A,4,4,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,11,2,0,0,0,0,13
B,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
B,4,4,1,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,11,2,0,0,0,0,13
B,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,4,4,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,4,5,1,1,1,1,1,3,2,3,1,1,0,0,0,0,0,0,0,,,,,,,7,5,1,2,0,0,15
A,4,5,1,2,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,7,2,0,0,0,0,9
A,4,5,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,4,5,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,4,5,3,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,7,1,0,0,0,0,8
A,4,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,18,0,0,0,0,0,18
B,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
B,4,5,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,4,5,2,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,6,2,0,0,0,0,8
B,4,5,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,4,5,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,4,5,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,5,0,0,0,0,0,5
